arrest_key,arrest_date,pd_cd,pd_desc,ky_cd,ofns_desc,law_code,law_cat_cd,arrest_boro,arrest_precinct,jurisdiction_code,age_group,perp_sex,perp_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column
261265483,2023-01-03T00:00:00.000,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1600500,F,B,49,0,18-24,M,BLACK,1027430,251104,40.855793,-73.843908,"{'type': 'Point', 'coordinates': [-73.843908, 40.855793]}"
261271301,2023-01-03T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,S,120,0,25-44,M,WHITE,962808,174275,40.644996,-74.077263,"{'type': 'Point', 'coordinates': [-74.077263, 40.644996]}"
261336449,2023-01-04T00:00:00.000,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1601001,F,K,61,0,<18,M,BLACK,995118,155708,40.594054,-73.960866,"{'type': 'Point', 'coordinates': [-73.960866, 40.594054]}"
261328047,2023-01-04T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,Q,114,0,18-24,M,BLACK,1007694,219656,40.769552,-73.915361,"{'type': 'Point', 'coordinates': [-73.915361, 40.769552]}"
261417496,2023-01-05T00:00:00.000,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,PL 1402000,F,B,44,0,25-44,F,BLACK,1007174,239542,40.824135,-73.91717,"{'type': 'Point', 'coordinates': [-73.91717, 40.824135]}"
261583093,2023-01-08T00:00:00.000,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,K,76,0,25-44,M,BLACK,984110,188363,40.683691,-74.000504,"{'type': 'Point', 'coordinates': [-74.000504, 40.683691]}"
261611504,2023-01-09T00:00:00.000,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,B,49,71,25-44,M,WHITE,1028555,246897,40.84424,-73.839868,"{'type': 'Point', 'coordinates': [-73.839868, 40.84424]}"
261892107,2023-01-14T00:00:00.000,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,K,90,0,25-44,M,BLACK,996541,199439,40.714082,-73.955662,"{'type': 'Point', 'coordinates': [-73.955662, 40.714082]}"
261926460,2023-01-14T00:00:00.000,263,"ARSON 2,3,4",114,ARSON,PL 1501001,F,K,63,0,25-44,M,BLACK,1000520,168264,40.628508,-73.941384,"{'type': 'Point', 'coordinates': [-73.941384, 40.628508]}"
262973934,2023-02-03T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,M,34,0,25-44,M,BLACK,1003818,253167,40.861538,-73.929256,"{'type': 'Point', 'coordinates': [-73.929256, 40.861538]}"
263113943,2023-02-06T00:00:00.000,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,B,44,0,45-64,F,BLACK,1010036,246475,40.843155,-73.906802,"{'type': 'Point', 'coordinates': [-73.906802, 40.843155]}"
264092077,2023-02-23T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211300,F,Q,105,0,25-44,F,BLACK,1057766,203992,40.726284,-73.73476,"{'type': 'Point', 'coordinates': [-73.73476, 40.726284]}"
261635779,2023-01-10T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,Q,101,0,18-24,M,BLACK,1050620,157860,40.599718,-73.760999,"{'type': 'Point', 'coordinates': [-73.760999, 40.599718]}"
261739896,2023-01-11T00:00:00.000,205,"TRESPASS 2, CRIMINAL",352,CRIMINAL TRESPASS,PL 1401502,M,K,88,0,18-24,F,BLACK,991150,192509,40.695068,-73.975116,"{'type': 'Point', 'coordinates': [-73.975116, 40.695068]}"
264206386,2023-02-25T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,K,63,0,45-64,M,BLACK,1000520,168264,40.628508,-73.941384,"{'type': 'Point', 'coordinates': [-73.941384, 40.628508]}"
261361209,2023-01-04T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,40,0,18-24,F,BLACK,1007528,234117,40.809243,-73.915909,"{'type': 'Point', 'coordinates': [-73.915909, 40.809243]}"
264544903,2023-03-04T00:00:00.000,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,Q,114,0,25-44,M,BLACK,1007694,219656,40.769552,-73.915361,"{'type': 'Point', 'coordinates': [-73.915361, 40.769552]}"
262362107,2023-01-23T00:00:00.000,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1600500,F,B,47,0,25-44,M,BLACK,1026486,262591,40.887325,-73.847247,"{'type': 'Point', 'coordinates': [-73.847247, 40.887325]}"
262497973,2023-01-25T00:00:00.000,153,RAPE 3,104,RAPE,PL 1302501,F,B,52,0,<18,M,BLACK,1017478,256069,40.8694704770483,-73.8798608037303,"{'type': 'Point', 'coordinates': [-73.8798608037303, 40.8694704770483]}"
